question_text,answer,domain,requirement,pcip_reference
What does PCI DSS stand for?,Payment Card Industry Data Security Standard,1,,PCI DSS v4.0.1
What does PCI SSC stand for?,PCI Security Standards Council,1,,PCI SSC Overview
When was the PCI SSC founded?,2006,1,,PCI SSC Overview
How many founding/strategic members does the PCI SSC Executive Committee have?,Six,1,,PCI SSC Overview
Name the six PCI SSC Executive Committee members.,"American Express, Discover, JCB International, Mastercard, UnionPay, Visa",1,,PCI SSC Overview
True or false: The PCI SSC mandates compliance with PCI standards.,False -- payment brands and acquirers enforce compliance,1,,PCI SSC Overview
True or false: The PCI SSC defines merchant compliance levels.,False -- payment brands define compliance levels,1,,PCI SSC Overview
Who imposes consequences for PCI DSS non-compliance?,Acquirers and payment brands,1,,PCI SSC Overview
How many PCI security standards does the PCI SSC maintain?,15,1,,PCI SSC Overview
True or false: PCI SSC Technical FAQs are integral to requirements during assessment.,True,1,,PCI SSC Overview
True or false: PCI SSC Information Supplements can replace or supersede requirements.,False -- guidance only,1,,PCI SSC Overview
What does CHD stand for?,Cardholder Data,1,,PCI DSS v4.0.1 Req 3
What four elements make up CHD?,"PAN, cardholder name, expiration date, service code",1,,PCI DSS v4.0.1 Req 3
What does SAD stand for?,Sensitive Authentication Data,1,,PCI DSS v4.0.1 Req 3
What three elements make up SAD?,"Full track data, card verification codes (CVV/CVC), PIN/PIN block",1,,PCI DSS v4.0.1 Req 3
What does PAN stand for?,Primary Account Number,1,,PCI DSS v4.0.1 Req 3
True or false: PCI DSS applies whenever PAN is stored processed or transmitted.,True,1,,PCI DSS v4.0.1 Req 3
Can SAD be stored after authorization?,Never -- even if encrypted,1,,PCI DSS v4.0.1 Req 3.3
What is the one exception to the SAD storage prohibition?,Issuers with legitimate business need may store SAD if strongly encrypted,1,,PCI DSS v4.0.1 Req 3.3
What is a service code on a payment card?,3-or-4-digit value specifying acceptance attributes (international use / PIN required / transaction types),1,,PCI DSS v4.0.1 Glossary
What does EMV stand for?,"Europay, Mastercard, and Visa",1,,EMV Specifications
What is the purpose of EMV?,Chip-based payment card standard to reduce counterfeit fraud,1,,EMV Specifications
What is an issuer?,Bank that issues payment cards to cardholders,1,,Payment Industry Overview
What is an acquirer?,Bank that processes card payments for merchants,1,,Payment Industry Overview
In a four-party card model who are the four parties?,"Cardholder, merchant, issuer, acquirer",1,,Payment Industry Overview
In a three-party model what is different?,One entity acts as both issuer and acquirer (e.g. Amex / Discover),1,,Payment Industry Overview
What is a payment gateway?,Technology that securely transmits transaction data from merchant to processor,1,,Payment Industry Overview
What is a payment processor?,Entity that routes and settles transactions between acquirers and issuers,1,,Payment Industry Overview
What is a payment facilitator (PayFac)?,Third-party agent registered with card brands that processes payments for sub-merchants,1,,Visa Core Rules
What are the three phases of a payment transaction?,"Authorization, clearing, settlement",1,,Payment Industry Overview
How long does clearing usually take?,1 day,1,,Payment Industry Overview
How long does settlement usually take?,2 days,1,,Payment Industry Overview
What is Magecart?,Umbrella term for criminal groups performing online/digital skimming attacks on e-commerce sites,1,,PCI Essentials
What are the three layers of payment security?,"Technical controls, people, processes",1,,PCI Essentials
What is a card-present (CP) transaction?,Physical card used at point of sale (dip / tap / swipe),1,,Payment Industry Overview
What is a card-not-present (CNP) transaction?,Transaction without physical card (e-commerce / mail order / phone order),1,,Payment Industry Overview
What does MOTO stand for?,Mail Order / Telephone Order,1,,PCI DSS v4.0.1 Glossary
What are the three categories of PCI standards?,"1) Organization Environment, 2) Device/Software Product, 3) Solution",1,,PCI Standards Overview
Which PCI standard category requires on-site review?,Category 1 -- Organization Environment Standards,1,,PCI Standards Overview
Which PCI standard category results in product listings on the PCI SSC website?,Category 2 -- Device and Software Product Standards,1,,PCI Standards Overview
Give an example of a Category 3 (Solution) standard.,P2PE or SPoC,1,,PCI Standards Overview
What are the two phases of the payment card lifecycle?,"Pre-issuance (production/provisioning), post-issuance (PCI DSS applies)",1,,PCI Standards Overview
What does PTS stand for?,PIN Transaction Security,1,,PCI Standards Overview
What does PTS HSM cover?,Secure design / manufacturing / protection of Hardware Security Modules,1,,PCI Standards Overview
What does PTS POI cover?,Security of PIN terminals / POS devices / encrypting PIN pads,1,,PCI Standards Overview
What does PTS PIN Security cover?,Secure management / processing / transmission of PIN data,1,,PCI Standards Overview
How many control objective groups does PTS PIN Security have?,7,1,,PCI Standards Overview
Who assesses PTS PIN Security?,Qualified PIN Assessor (QPA),1,,PCI Standards Overview
What is a Secure Cryptographic Device (SCD)?,HSMs and POIs validated to PCI PTS standards,1,,PCI Standards Overview
What are the three 3DS domains?,"Acquiring, Interoperability, Issuing",1,,PCI Standards Overview
What 3DS component is in the Acquiring Domain?,3DS Server,1,,PCI Standards Overview
What 3DS components are in the Interoperability Domain?,3DS Directory Server and Certificate Authority,1,,PCI Standards Overview
What 3DS component is in the Issuing Domain?,3DS Access Control Server,1,,PCI Standards Overview
Who owns the 3DS protocol?,EMVCo (not PCI SSC),1,,PCI Standards Overview
What does SSF stand for?,Software Security Framework,1,,PCI Standards Overview
What are the two standards within the SSF?,Secure Software Standard (product) and Secure SLC Standard (vendor process),1,,PCI Standards Overview
What does Secure Software Standard validate?,A product's security,1,,PCI Standards Overview
What does Secure SLC Standard validate?,A vendor's development processes,1,,PCI Standards Overview
What does P2PE stand for?,Point-to-Point Encryption,1,,PCI SSC P2PE Standard
What POI requirement applies to P2PE devices?,Must be PCI PTS POI validated with SRED functionality,1,,PCI SSC P2PE Standard
What HSM requirement applies to P2PE decryption?,PCI PTS HSM or NIST FIPS 140-2/140-3 Level 3 or above,1,,PCI SSC P2PE Standard
True or false: In P2PE decrypted data may be sent back to the encryption environment.,False -- never,1,,PCI SSC P2PE Standard
How often must a P2PE ROV be renewed?,Every 3 years,1,,PCI SSC P2PE Standard
True or false: The PCIP qualification follows the individual regardless of employer.,True,1,,PCIP Training
How many goals does PCI DSS v4.0.1 have?,6,2,,PCI DSS v4.0.1 Overview
How many principal requirements does PCI DSS v4.0.1 have?,12,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirements 1-2?,Build and Maintain a Secure Network and Systems,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirements 3-4?,Protect Account Data,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirements 5-6?,Maintain a Vulnerability Management Program,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirements 7-9?,Implement Strong Access Control Measures,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirements 10-11?,Regularly Monitor and Test Networks,2,,PCI DSS v4.0.1 Overview
Which PCI DSS goal covers Requirement 12?,Maintain an Information Security Policy,2,,PCI DSS v4.0.1 Overview
What does CDE stand for?,Cardholder Data Environment,2,,PCI DSS v4.0.1 Scoping
What is the CDE?,"People, processes, and technologies that store/process/transmit CHD or SAD",2,,PCI DSS v4.0.1 Scoping
What are the three scoping categories for systems?,"CDE systems, connected-to/security-impacting systems, out-of-scope systems",2,,PCI DSS v4.0.1 Scoping
True or false: Network segmentation is a PCI DSS requirement.,False -- strongly recommended but not required,2,,PCI DSS v4.0.1 Scoping
What is tokenization?,Replacing PAN with a surrogate value that has no exploitable value,2,,PCI DSS v4.0.1 Tokenization Guidelines
What is a compensating control?,Alternative security measure meeting intent/rigor of original requirement due to legitimate constraint,2,,PCI DSS v4.0.1 Appendix B
What is the Customized Approach?,Entity designs own controls to meet a requirement's stated objective instead of following defined approach,2,,PCI DSS v4.0.1 Section 5
True or false: Entities can mix Defined and Customized Approaches across sub-requirements.,True,2,,PCI DSS v4.0.1 Section 5
Name three requirements NOT eligible for the Customized Approach.,"3.3.1 (SAD storage), 11.3.2 (ASV scans), A2.1, all of Appendix A3",2,,PCI DSS v4.0.1 Section 5
What is a TRA?,Targeted Risk Analysis -- used to determine frequency of periodic activities or validate customized controls,2,,PCI DSS v4.0.1 Req 12.3
In what two contexts are TRAs required?,12.3.1 (flexible frequency requirements) and 12.3.2 (every customized approach control),2,,PCI DSS v4.0.1 Req 12.3
What is the difference between PCI DSS compliance and validation?,"Compliance = meeting requirements at all times; validation = formal assessment demonstrating compliance at a point in time",2,,PCI DSS v4.0.1 Overview
What are the four Visa merchant levels?,"L1: >6M txns/yr, L2: 1-6M, L3: 20K-1M e-commerce, L4: <20K e-commerce or <1M other",2,,Visa Core Rules
What are the two Visa service provider levels?,"L1: >300K txns/yr, L2: <300K txns/yr",2,,Visa Core Rules
What does QSA stand for?,Qualified Security Assessor,2,,PCI SSC Qualification Requirements
What does ISA stand for?,Internal Security Assessor,2,,PCI SSC Qualification Requirements
What does ASV stand for?,Approved Scanning Vendor,2,,PCI SSC ASV Program Guide
What does PFI stand for?,PCI Forensic Investigator,4,,PCI SSC PFI Program Guide
Which PCI DSS requirement covers network security controls?,Requirement 1,3,1,PCI DSS v4.0.1 Req 1
Which PCI DSS requirement covers secure configurations?,Requirement 2,3,2,PCI DSS v4.0.1 Req 2
Which PCI DSS requirement covers protecting stored account data?,Requirement 3,3,3,PCI DSS v4.0.1 Req 3
