question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"In the four-party payment card model, which entity pays the interchange fee to the issuing bank?",The cardholder,The merchant directly,The acquiring bank,The card network,c,"In the four-party model, the interchange fee flows from the acquiring bank (merchant's bank) to the issuing bank (cardholder's bank). The card network sets the interchange rates but does not pay them; the acquirer passes this cost through to the merchant as part of the merchant discount fee.",1,,medium,Payment Industry Overview
"What is the primary distinction between a payment gateway and a payment processor?","A payment gateway moves funds between banks, while a payment processor encrypts card data","A payment gateway securely transmits payment data to the processor, while the processor facilitates the actual authorization and fund movement","A payment gateway is used only for in-store transactions, while a payment processor handles online transactions","A payment gateway and a payment processor are different names for the same service",b,"A payment gateway is the technology layer that encrypts and securely transmits payment information from the merchant to the payment processor. The payment processor then routes the transaction through the card network to the issuer for authorization and handles clearing and settlement.",1,,medium,Payment Industry Overview
"During which phase of a payment card transaction are batched transactions exchanged between the acquirer and issuer through the card network, and interchange fees calculated?",Authorization,Clearing,Settlement,Funding,b,"Clearing is the process where the acquirer forwards batched transaction data through the card network to the respective issuers. During clearing, the network calculates interchange fees and reconciles transaction details. Settlement -- the actual transfer of funds -- follows clearing as a separate step.",1,,medium,Payment Industry Overview
"Visa card numbers are identified by which leading digit(s) in their Bank Identification Number (BIN)?",3,4,5,6,b,"Visa cards are identified by a leading digit of 4 in their BIN/IIN range. By contrast, Mastercard uses 51-55 and 2221-2720, American Express uses 34 and 37, and Discover uses 6011, 644-649, and 65.",1,,easy,Payment Industry Overview
"Which of the following BIN ranges was introduced by Mastercard in 2016 to supplement its traditional 51-55 range?",3000-3059,4000-4999,2221-2720,6011-6049,c,"In October 2016, Mastercard activated a new series of BIN ranges beginning with 2 (specifically 2221 through 2720) to supplement the traditional 51-55 range. These '2-series' BINs are processed identically to 51-55 cards and were introduced to expand the available number space.",1,,hard,Payment Industry Overview
"In PCI DSS v4.0.1, the term 'account data' is defined as which of the following?",The PAN and cardholder name only,Cardholder data combined with sensitive authentication data,Only data stored after authorization is complete,The full magnetic stripe data and PIN block,b,"PCI DSS v4.0.1 defines account data as the combination of cardholder data (PAN, cardholder name, expiration date, service code) and sensitive authentication data (full track data, CAV2/CVC2/CVV2/CID, PINs/PIN blocks). The PAN is the defining factor -- if PAN is present, account data exists and PCI DSS requirements apply.",1,,easy,PCI DSS v4.0.1 Glossary
"What is the role of a payment facilitator (PayFac) in the payment card ecosystem?",It issues payment cards directly to consumers on behalf of card networks,"It enables sub-merchants to accept card payments under the PayFac's master merchant agreement with an acquirer",It operates the card network infrastructure that routes transactions between issuers and acquirers,It performs quarterly vulnerability scans on behalf of merchants,b,"A payment facilitator (PayFac) is an entity that contracts with an acquirer and then boards sub-merchants under its own master merchant account. This allows smaller merchants to accept card payments without establishing their own direct acquiring relationship. The PayFac assumes responsibility for its sub-merchants' compliance with card brand rules.",1,,medium,Payment Industry Overview
"In a chargeback dispute, which party initiates the chargeback by reversing a transaction on behalf of the cardholder?",The merchant's acquiring bank,The card network directly,The cardholder's issuing bank,The payment processor,c,"In the chargeback process, the cardholder disputes a transaction with their issuing bank, and the issuer initiates the chargeback by reversing the transaction and debiting the acquirer. The acquirer then debits the merchant. The card network facilitates the message routing but does not initiate the chargeback itself.",1,,medium,Payment Industry Overview
"Near Field Communication (NFC) contactless payments operate at approximately what distance between the card or device and the terminal?",Up to 30 centimeters (about 12 inches),Up to 4 centimeters (about 1.5 inches),Up to 1 meter (about 3 feet),Up to 10 centimeters (about 4 inches),d,"NFC contactless payments operate at a maximum distance of approximately 10 centimeters (about 4 inches), though in practice most transactions occur at 4 cm or less. This short range is a deliberate security feature that requires the card or device to be held very close to the terminal's contactless reader.",1,,hard,NFC Technology
"When a consumer uses Apple Pay or Google Pay to make an in-store purchase, what replaces the actual PAN during the transaction?",A one-time authorization code from the issuer,A device-specific token generated under the EMV Payment Tokenization Specification,"The card's CVV2 value encrypted with the device's biometric data",A static alias number assigned by the merchant's acquirer,b,"Mobile wallets like Apple Pay and Google Pay use EMV payment tokenization to replace the actual PAN with a device-specific token (called a Device PAN or DPAN). This token is generated according to the EMV Payment Tokenization Specification and is restricted to that specific device, meaning the real card number is never transmitted to or stored by the merchant.",1,,hard,EMV Payment Tokenization
"Which of the following is NOT considered a payment channel for card transactions?",Mail order/telephone order (MOTO),Recurring billing,EMV chip insertion at a terminal,E-commerce,c,"Payment channels describe how a transaction is initiated and include e-commerce, MOTO, recurring billing, and in-store/card-present. EMV chip insertion is a card authentication method used within the in-store (card-present) channel, not a payment channel itself. The distinction matters because different channels carry different risk profiles and may require different SAQ types.",1,,hard,Payment Industry Overview
"Under PCI SSC's governance structure, which body is elected by Participating Organizations to provide industry feedback and strategic input on PCI standards and programs?",The Executive Committee,The Board of Advisors,The Qualified Security Assessor Council,The Technical Standards Working Group,b,"The PCI SSC Board of Advisors is elected by Participating Organizations and Affiliate Members to represent the global payment industry. The Executive Committee, by contrast, is composed of representatives from the founding payment brands and Strategic Members and sets Council policy.",1,,easy,PCI SSC Overview
"According to PCI DSS v4.0.1, which three categories of system components are considered in scope for PCI DSS requirements?","Systems in the CDE, systems connected to the CDE, and systems owned by third parties","Systems in the CDE, systems that could impact CDE security, and systems used by employees","Systems that store/process/transmit CHD or SAD, systems with unrestricted connectivity to those systems, and systems that could impact the security of CHD/SAD","Systems that store CHD, systems that transmit CHD, and systems that process CHD",c,"PCI DSS v4.0.1 Section 4 defines three scoping categories: (1) the CDE itself, comprising systems that store, process, or transmit CHD/SAD; (2) systems with unrestricted connectivity to them; and (3) systems that could impact the security of CHD/SAD. All three categories are in scope and must meet applicable requirements.",2,,medium,PCI DSS v4.0.1 Section 4
"A web hosting company provides shared server environments where multiple merchants host their e-commerce sites. Under PCI DSS, what type of entity is this hosting company considered?","A multi-tenant service provider subject to Appendix A1 requirements",An ISP exempt from PCI DSS requirements,A merchant responsible only for its own transactions,A technology vendor with no PCI DSS obligations,a,"PCI DSS v4.0.1 Appendix A1 defines multi-tenant service providers as third-party service providers offering shared services where customers share system resources. These providers must meet both standard PCI DSS requirements and the additional requirements in Appendix A1. Co-location providers that only rent equipment, space, and bandwidth are explicitly excluded.",2,,medium,PCI DSS v4.0.1 Appendix A1
"What is the primary difference between a Report on Compliance (ROC) and a Self-Assessment Questionnaire (SAQ)?",A ROC covers all 12 requirements while an SAQ covers only a subset,"A ROC is completed by or with a QSA/ISA and includes detailed testing evidence, while an SAQ is a self-evaluation tool completed by the entity",A ROC is submitted to the PCI SSC while an SAQ is submitted to the acquiring bank,A ROC is required annually while an SAQ is required quarterly,b,"The ROC is a detailed compliance report produced through an assessment conducted by a QSA or ISA, documenting testing procedures and evidence for each applicable requirement. The SAQ is a self-validation tool that allows eligible entities to assess their own compliance against a defined subset of requirements. Both are accompanied by an Attestation of Compliance (AOC) when submitted.",2,,easy,PCI DSS Assessment Process
