question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"The PCI Security Standards Council (PCI SSC) was founded in what year?",2004,2006,2008,2010,b,"The PCI SSC was founded on September 7, 2006, by American Express, Discover Financial Services, JCB International, Mastercard, and Visa Inc.",1,,easy,PCI SSC Overview
"Which of the following is NOT a founding member of the PCI SSC?",Visa,Mastercard,UnionPay,JCB International,c,"UnionPay joined the PCI SSC as a Strategic Member in November 2020, becoming the sixth brand on the executive committee. The five founding members were American Express, Discover, JCB, Mastercard, and Visa.",1,,easy,PCI SSC Overview
"In a four-party (open-loop) payment card model, which entity issues cards to consumers?",The card network,The acquirer,The issuing bank,The merchant,c,"In the four-party model used by Visa and Mastercard, the issuing bank (issuer) issues cards to consumers. The card network facilitates transaction processing but does not issue cards directly.",1,,easy,Payment Industry Overview
"Which payment card networks operate a three-party (closed-loop) model where they serve as both issuer and acquirer?",Visa and Mastercard,American Express and Discover,JCB and UnionPay,Mastercard and American Express,b,"American Express and Discover operate closed-loop (three-party) models where they serve as the card network, issuer, and acquirer. Visa and Mastercard use an open-loop (four-party) model.",1,,medium,Payment Industry Overview
"What is the primary role of an acquirer in payment card processing?",Issuing cards to consumers,Processing transactions on behalf of merchants,Setting interchange rates,Manufacturing payment terminals,b,"An acquirer (acquiring bank) processes payment card transactions on behalf of merchants. They maintain the merchant relationship, ensure PCI DSS compliance of their merchants, and report compliance status to payment brands.",1,,easy,Payment Industry Overview
"Which of the following best describes the authorization step in a payment card transaction?",The merchant receives funds in their bank account,The issuer verifies the cardholder's account and approves or declines the transaction,The cardholder signs the receipt,The acquirer sends the batch of transactions for processing,b,"Authorization is the real-time process where the issuer verifies the cardholder's account has sufficient funds or credit and approves or declines the transaction. Settlement is when funds are actually transferred.",1,,easy,Payment Industry Overview
"A card-present (CP) transaction requires which of the following?",The cardholder to be physically in the store,Electronic capture of card data via a card reader,The merchant to manually enter the card number,A signed receipt from the cardholder,b,"A transaction is card-present only if electronic data is captured at the time of sale via a card reader (swipe, dip, or tap). Even if the cardholder is physically present, manually keying in the card number makes it a card-not-present transaction.",1,,medium,Payment Industry Overview
"EMV chip cards generate what type of data for each transaction, making them more secure than magnetic stripe cards?",Static authentication data,Dynamic (unique per-transaction) data,Encrypted PAN data,Tokenized account numbers,b,"EMV chips generate dynamic, unique data for each transaction. This one-time code cannot be reused, making cloned cards ineffective. Magnetic stripe cards contain only static data that can be copied.",1,,medium,EMV Technology
"Which of the following is classified as Sensitive Authentication Data (SAD) under PCI DSS?",Primary Account Number (PAN),Cardholder name,Full track data from the magnetic stripe,Expiration date,c,"Full track data (magnetic-stripe data or equivalent on a chip) is Sensitive Authentication Data. PAN, cardholder name, and expiration date are Cardholder Data. SAD also includes card verification codes (CVV2/CVC2/CID) and PINs/PIN blocks.",1,,medium,PCI DSS v4.0.1 Table 2
"What are the four elements that make up Cardholder Data (CHD) under PCI DSS?","PAN, cardholder name, expiration date, service code","PAN, cardholder name, CVV2, PIN","PAN, track data, expiration date, service code","PAN, cardholder name, expiration date, PIN block",a,"Cardholder Data includes: Primary Account Number (PAN), Cardholder Name, Expiration Date, and Service Code. CVV2, PINs, PIN blocks, and full track data are Sensitive Authentication Data (SAD).",1,,medium,PCI DSS v4.0.1 Table 2
"Each card brand uses a different name for the card verification code printed on the card. Which brand uses the term CID?",Visa,Mastercard,American Express,JCB,c,"American Express uses CID (Card Identification Number). Visa uses CVV2, Mastercard uses CVC2, and Discover uses CID as well. JCB uses CAV2.",1,,hard,PCI DSS Glossary
"What does the service code on a payment card indicate?","The card's credit limit","Service attributes such as international use restrictions and PIN requirements","The issuing bank's routing number","The cardholder's account type",b,"The service code is a three-digit or four-digit value in the magnetic stripe that defines service attributes, differentiates between international and national interchange, and identifies usage restrictions.",1,,hard,PCI DSS v4.0.1 Glossary
"Which type of card draws funds from a preloaded balance rather than a bank account or credit line?",Credit card,Debit card,Prepaid card,Charge card,c,"Prepaid cards draw funds from a preloaded balance. Credit cards borrow from the issuer's credit line, debit cards draw directly from a linked bank account, and charge cards require full payment each billing cycle.",1,,easy,Payment Industry Overview
"In a card-not-present (CNP) environment, which of the following transaction types would NOT typically occur?",E-commerce purchase,Mail order/telephone order (MOTO),EMV chip dip at a POS terminal,Recurring subscription payment,c,"An EMV chip dip at a POS terminal is a card-present transaction. CNP transactions include e-commerce, MOTO, recurring/subscription payments, and invoice payments where the physical card is not read by a device.",1,,easy,Payment Industry Overview
"Card-not-present fraud rates are approximately how many times higher than card-present fraud rates?",2 times,5 times,15 times,50 times,c,"CNP fraud rates are approximately 0.93% vs. 0.06% for CP transactions -- roughly 15 times higher. This is why CNP transactions have higher interchange fees and require additional security measures like CVV, AVS, and 3-D Secure.",1,,hard,Payment Industry Statistics
"What is the primary purpose of PCI DSS?","To regulate banking institutions","To protect account data wherever it is stored, processed, or transmitted","To set interchange fees for card transactions","To certify payment terminals",b,"PCI DSS is intended to protect account data (cardholder data and sensitive authentication data) wherever it is stored, processed, or transmitted. It applies to all entities involved in payment account processing.",2,,easy,PCI DSS v4.0.1 Section 2
"Which data element is the defining factor for PCI DSS applicability?",Cardholder name,Expiration date,Primary Account Number (PAN),Service code,c,"The PAN is the defining factor. If PAN is not stored, processed, or transmitted, PCI DSS does not apply. Cardholder name, service code, and expiration date stored alone (without PAN) do not trigger PCI DSS requirements.",2,,easy,PCI DSS v4.0.1 Section 2
"How many principal requirements does PCI DSS v4.0.1 contain?",6,10,12,15,c,"PCI DSS v4.0.1 contains 12 principal requirements organized under 6 goals. The 6 goals are high-level security objectives, and the 12 requirements provide specific controls to achieve those goals.",2,,easy,PCI DSS v4.0.1 Overview
"Which of the following is TRUE about Sensitive Authentication Data (SAD) storage?","SAD may be stored indefinitely if encrypted","SAD must never be stored after authorization, even if encrypted","SAD may be stored for up to 90 days after authorization","Only issuers may store SAD, and only before authorization",b,"SAD must never be stored after authorization, even if encrypted. The only exception is for issuers and companies that support issuing services, where there is a legitimate and documented business need.",2,,medium,PCI DSS v4.0.1 Req 3.3.1
"What defines the Cardholder Data Environment (CDE)?","Any system connected to the internet","The people, processes, and technologies that store, process, or transmit cardholder data or sensitive authentication data","Only the payment terminal and its immediate network segment","The physical location where cards are accepted",b,"The CDE comprises the people, processes, and technologies that store, process, or transmit cardholder data (CHD) and/or sensitive authentication data (SAD), plus any systems connected to or that could affect the security of the CDE.",2,,medium,PCI DSS v4.0.1 Scoping Guidance
"Network segmentation is which of the following under PCI DSS?","A mandatory requirement for all entities","Not a PCI DSS requirement, but strongly recommended to reduce scope","Required only for Level 1 merchants","Required only for service providers",b,"Segmentation (isolation) of the CDE from the remainder of an entity's network is not a PCI DSS requirement. However, it is strongly recommended as it may reduce the scope, cost, and difficulty of PCI DSS assessment and controls.",2,,medium,PCI DSS v4.0.1 Segmentation Guidance
"What happens if an entity has no network segmentation (a 'flat network')?","Only the payment terminal is in scope","The entire network is in scope for PCI DSS assessment","The entity is automatically non-compliant","The entity must implement segmentation within 90 days",b,"Without adequate segmentation (a flat network), the entire network is in scope for PCI DSS assessment. All systems on the network must meet applicable PCI DSS requirements.",2,,medium,PCI DSS v4.0.1 Segmentation Guidance
"Under PCI DSS v4.0, what is the 'customized approach'?","A way to meet the stated objective of a requirement using alternative controls","A simplified version of PCI DSS for small merchants","An approach that allows entities to skip certain requirements","A method for extending compliance deadlines",a,"The customized approach allows an entity to implement controls that meet the stated Customized Approach Objective of a requirement through means different from the defined approach. It requires a controls matrix, targeted risk analysis, and documented testing procedures.",2,,hard,PCI DSS v4.0.1 Customized Approach
"Which of the following is a criterion for using compensating controls under PCI DSS?","They must meet the intent and rigor of the original requirement","They can be used for any requirement at the entity's discretion","They only need to address the specific vulnerability","They must be approved by the PCI SSC directly",a,"Compensating controls must meet the intent and rigor of the original requirement, must be 'above and beyond' other PCI DSS requirements, and must be commensurate with the additional risk posed by not adhering to the original requirement.",2,,hard,PCI DSS v4.0.1 Compensating Controls
"SAQ A is designed for which type of merchant?","Merchants using standalone dial-out terminals","Card-not-present merchants that have fully outsourced all cardholder data functions to a PCI DSS-compliant third party","Merchants with payment application systems connected to the internet","All merchants that store cardholder data electronically",b,"SAQ A is the shortest SAQ and is designed for card-not-present merchants (e-commerce, MOTO) that have fully outsourced all cardholder data functions to PCI DSS-compliant third-party service providers.",2,,medium,PCI DSS SAQ Instructions
"Which SAQ type must service providers use?",SAQ A,SAQ C,SAQ D for Service Providers,SAQ P2PE,c,"Service providers can only use SAQ D for Service Providers. There is no shorter SAQ option available to them. Merchants have multiple SAQ options depending on their cardholder data environment.",2,,medium,PCI DSS SAQ Instructions
"What is the transaction volume threshold for a Visa Level 1 merchant?","More than 1 million transactions annually","More than 2.5 million transactions annually","More than 6 million transactions annually","More than 10 million transactions annually",c,"A Visa Level 1 merchant processes more than 6 million Visa transactions annually across all channels. This is the same threshold used by Mastercard for their Level 1 classification.",2,,medium,Visa AIS Program
"At what transaction volume threshold are service providers classified as Level 1 by both Visa and Mastercard?","More than 100,000 transactions annually","More than 300,000 transactions annually","More than 1 million transactions annually","More than 6 million transactions annually",b,"Both Visa and Mastercard classify service providers that store, process, or transmit more than 300,000 transactions annually as Level 1. This is significantly lower than the merchant Level 1 threshold of 6 million.",2,,medium,Visa/Mastercard SP Programs
